,major_group_id,major_group_name
0,99,chemical
1,3,Others
2,101,general
3,65,social work
4,130,accounting
5,8,business
6,88,student
7,3,Others
8,3,Others
9,53,nursing
10,46,international
11,3,Others
12,59,undeclared
13,29,management
14,66,interdisciplinary
15,121,info
16,77,science
17,44,resource
18,130,accounting
19,50,engineering
20,87,computer
21,118,family
22,115,mathematics
23,28,psychology
24,70,finance
25,72,Others
26,144,english writing
27,70,finance
28,125,molecular
29,85,history
30,47,medicine
31,105,music performance
32,3,Others
33,3,Others
34,1,social
35,135,english
36,116,wildlife
37,3,Others
38,9,biology
39,46,international
40,10,chemistry
41,33,information technology
42,50,engineering
43,50,engineering
44,53,nursing
45,61,information
46,14,economics
47,103,communication
48,3,Others
49,113,industrial
50,71,Others
51,71,Others
52,63,elementary
53,126,human
54,3,Others
55,2,environmental
56,12,music
57,53,nursing
58,46,international
59,3,Others
60,21,education
61,35,journalism
62,27,theatre
63,118,family
64,96,design
65,113,industrial
66,72,Others
67,3,Others
68,12,music
69,9,biology
70,119,art
71,54,electrical
72,119,art
73,131,educ
74,101,general
75,3,Others
76,3,Others
77,59,undeclared
78,93,Others
79,51,biochemistry
80,148,marketing
81,64,law
82,10,chemistry
83,119,art
84,69,civil
85,59,undeclared
86,77,science
87,38,leadership
88,50,engineering
89,52,mechanical
90,2,environmental
91,3,Others
92,3,Others
93,32,child
94,1,social
95,83,philosophy
96,123,teaching
97,148,marketing
98,43,physic
99,3,Others
100,68,sociology
101,7,engr
102,109,entrepreneurship
103,107,adm
104,59,undeclared
105,48,political
106,27,theatre
107,50,engineering
108,87,computer
109,3,Others
110,3,Others
111,53,nursing
112,120,medium
113,29,management
114,53,nursing
115,120,medium
116,146,biol
117,52,mechanical
118,3,Others
119,4,and
120,29,management
121,3,Others
122,3,Others
123,147,admin
124,38,leadership
125,65,social work
126,104,geology
127,0,Others
128,3,Others
129,137,research
130,3,Others
131,3,Others
132,7,engr
133,144,english writing
134,62,spanish
135,93,Others
136,77,science
137,26,graphic
138,3,Others
139,3,Others
140,129,educational
141,77,science
142,3,Others
143,45,anthropology
144,3,Others
145,28,psychology
146,3,Others
147,37,counseling
148,72,Others
149,77,science
150,72,Others
151,0,Others
152,77,science
153,84,physical
154,119,art
155,93,Others
156,123,teaching
157,3,Others
158,77,science
159,46,international
160,119,art
161,42,accountancy
162,61,information
163,78,study
164,3,Others
165,46,international
166,3,Others
167,3,Others
168,16,Others
169,78,study
170,3,Others
171,116,wildlife
172,0,Others
173,64,law
174,3,Others
175,3,Others
176,3,Others
177,3,Others
178,3,Others
179,10,chemistry
180,3,Others
181,114,agricultural
182,3,Others
183,112,politics
184,60,accounting business
185,72,Others
186,3,Others
187,111,natural
188,2,environmental
189,24,Others
190,26,graphic
191,0,Others
192,0,Others
193,76,comm
194,130,accounting
195,123,teaching
196,38,leadership
197,3,Others
198,3,Others
199,9,biology
200,3,Others
201,71,Others
202,14,economics
203,3,Others
204,106,Others
205,3,Others
206,56,master
207,3,Others
208,70,finance
209,72,Others
210,3,Others
211,1,social
212,3,Others
213,34,art history
214,23,Others
215,100,development
216,2,environmental
217,98,nutrition
218,139,biomedical
219,7,engr
220,3,Others
221,124,min
222,3,Others
223,3,Others
224,3,Others
225,0,Others
226,53,nursing
227,0,Others
228,50,engineering
229,59,undeclared
230,18,manufacturing
231,14,economics
232,148,marketing
233,3,Others
234,118,family
235,0,Others
236,3,Others
237,102,policy
238,9,biology
239,87,computer
240,50,engineering
241,28,psychology
242,21,education
243,63,elementary
244,3,Others
245,41,public
246,91,geography
247,9,biology
248,72,Others
249,3,Others
250,71,Others
251,57,exercise
252,61,information
253,3,Others
254,61,information
255,87,computer
256,29,management
257,4,and
258,19,film
259,123,teaching
260,3,Others
261,77,science
262,3,Others
263,101,general
264,3,Others
265,142,cert
266,72,Others
267,147,admin
268,79,Others
269,125,molecular
270,0,Others
271,139,biomedical
272,3,Others
273,61,information
274,3,Others
275,21,education
276,101,general
277,3,Others
278,3,Others
279,50,engineering
280,3,Others
281,114,agricultural
282,2,environmental
