MAJOR_ID,MAJOR_NAME
fafc74b2-2815-4bef-b011-c8a37e5073c2,Chemical Engineering
a731d3b9-ec07-4d09-83fd-ed443bd2b731,Undergraduate Pathway
61aa9457-4f86-4954-86d4-b855167fd34b,Pre-General Engineering
1b3bff54-b2bb-4fa3-bc8e-a8d525097c17,Social Work
47402f29-939a-4d31-bea3-765581941d55,Accounting
dad28ff5-8b93-48a6-bdf4-ac41274ad419,Business Administration
af300478-32ec-4cf0-b81e-a5f7ccae71c0,Guest Student-Undergraduate
d54a3595-d31f-4c26-aaec-a0bebb5bec4e,MICR-PHD
e66dfe82-f09a-4041-b21c-ef531d1d93a0,Robotics
3a61aea4-8c01-4feb-8938-c94d4ea49647,Nursing
3fb5f40e-63b2-4d45-a9de-5e8af6ce11ea,International Commerce/Policy
5bc82f2b-cbca-46b0-841c-741bb5670f7a,NDCU
eb1edce1-a8f8-426b-b44f-fa1c44113b3c,Undeclared
33f30f95-4f43-41a7-9524-66d870b32653,Management
a30b424a-a41e-4361-adf4-e5041fb1f1fa,Interdisciplinary Studies
222a69cd-5919-4ecf-be68-57f0cc86e0ba,Info Study: Info Architecture
5314171a-9f2d-45a4-ab2b-2fa71d517739,Applied Science
c7fe7361-e23e-459c-8f26-15126881b0a4,Energy Resource Mgmt/Dev
89228d7c-f74c-4155-acaf-682ef584f532,Accounting (128)
33cd826f-cd0a-4b52-ac35-59c9ae896bde,Computer Engineering
5ebd9316-6126-4065-a8ab-4a6d7dfb6176,Computer Science
22866e04-aaaa-4e80-a5a2-cc9b387ee4b9,Human Devel and Family Science
743335f8-f001-481c-9202-011e97468115,Mathematics
ae829e9d-4c45-4511-b350-baadf7c323de,Psychology
31f876fb-b314-49ff-8f95-146da19438a3,Pre-Finance
85fd177b-a0d3-4cbf-a6fe-830687ad015b,Non-Degree
679639f1-65bc-4536-a261-44033d79acbc,English:  Creative Writing
cac64ca3-b46c-4cea-bbe5-1ffe21fa98f9,Finance
f2c7974e-1887-4b5f-8edc-19d454d9e35d,Molecular Biology
55a2838b-3204-4a2b-9783-2cbaaf5862a2,History
cd2a3661-5cb8-4ac7-a0c5-00c6265afd04,Pre-Veterinary Medicine
e8417106-d0b8-4079-bb58-0aa9de7b126a,Music Performance
605b30dd-976d-4d9c-926a-1664bd7fc056,HIST-BA
4561554d-2b5f-494f-a49b-bb5d29c7fba2,Dental Hygiene
4eb957d2-4d19-4248-83e6-6fea3ddbeacf,Social Science
